报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"已花费金额 (USD)",点击率（全部）,custom_derived_metrics:334261784830934,应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物","基于展示次数的 3 秒视频播放率","视频播放进度达 100% 的次数",视频平均播放时长,结果（初始）,成效（初始）指标
2025-12-01,2026-08-31,20251029_GrowMe_EN_4x5_FX-pic_ZT-test-3_RS-P3X1R1C3_gy,not_delivering,,,,251104_AAA_AEO-Purchase_ios_pic_Growme_T1_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20251029_GrowMe_EN_4x5_FX-pic_ZT-test-4_RS-P3X1R1C3_gy,not_delivering,,,,251104_AAA_AEO-Purchase_ios_pic_Growme_T1_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20251030_growme_EN_4x5_FX-pic_ZT-20sentrnces_RS-P1X1R3C3_wxx,not_delivering,,,,251104_AAA_AEO-Purchase_ios_pic_Growme_T1_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20250926_GrowMe_EN_9x16_FX-test_ZT-driving_RS-P3X1R1C3_fj,not_delivering,,,,251104_AAA_AEO-Purchase_ios_vid_Growme_T1_top_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20250925_growme_EN_9x16_FX-test_ZT-book_RS-P1X1R3C1_gy,not_delivering,,,,251104_AAA_AEO-Purchase_ios_vid_Growme_T1_top_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20250926_growme_EN_9x16_FX-book_ZT-youtube_RS-P1X1R3C3_wxx,not_delivering,,,,251104_AAA_AEO-Purchase_ios_vid_Growme_T1_top_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20251010_growme_EN_9x16_FX-book_ZT-scan2_RS-P1X1R3C3_FL_wxx,not_delivering,,,,251104_AAA_AEO-Purchase_ios_vid_Growme_T1_top_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20250925_growme_EN_9x16_FX-test_ZT-learning_RS-P1X1R3C1_gy,not_delivering,,,,251104_AAA_AEO-Purchase_ios_vid_Growme_T1_top_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20250926_GrowMe_EN_9x16_FX-pic_ZT-test-6_RS-P3X1R1C3_fj,not_delivering,,,,251104_AAA_AEO-Purchase_ios_pic_Growme_美欧洋_15min_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20251104_GrowMe_EN_4x5_FX-pic_ZT-test-4_RS-P3X1R1C3_fj,inactive,,,,251103_US_251103周图片_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20251104_GrowMe_EN_4x5_FX-pic_ZT-test-7_RS-P3X1R1C3_fj,inactive,,,,251103_US_251103周图片_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20251104_GrowMe_EN_4x5_FX-pic_ZT-test-8_RS-P3X1R1C3_fj,inactive,,,,251103_US_251103周图片_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20251104_GrowMe_EN_4x5_FX-pic_ZT-test-9_RS-P3X1R1C3_fj,inactive,,,,251103_US_251103周图片_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20251104_GrowMe_EN_4x5_FX-pic_ZT-test-1_RS-P3X1R1C3_fj,inactive,,,,251103_US_251103周图片_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20251104_GrowMe_EN_4x5_FX-pic_ZT-test-3_RS-P3X1R1C3_fj,inactive,,,,251103_US_251103周图片_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20251104_GrowMe_EN_4x5_FX-pic_ZT-test-2_RS-P3X1R1C3_fj,inactive,,,,251103_US_251103周图片_joy,0,0,0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20251104_GrowMe_EN_4x5_FX-pic_ZT-test-6_RS-P3X1R1C3_fj,inactive,,,,251103_US_251103周图片_joy,0,0,0,,,,,,,,,,,00:00:00,,
